OrderID,OrderDate,Region,Category,Product,Sales,Quantity,Profit
1001,2024-01-05,East,Office Supplies,Pen,120,10,25
1002,2024-01-07,West,Technology,Laptop,1500,2,300
1003,2024-01-08,South,Furniture,Chair,450,5,90
1004,2024-01-09,East,Office Supplies,Notebook,200,20,50
1005,2024-01-11,North,Technology,Smartphone,1200,3,250
1006,2024-01-12,South,Furniture,Desk,800,2,120
1007,2024-01-13,West,Office Supplies,Marker,90,15,18
1008,2024-01-15,North,Technology,Monitor,600,2,100
1009,2024-01-17,East,Furniture,Bookshelf,700,1,150
1010,2024-01-20,South,Office Supplies,Paper,50,25,10
1011,2024-01-21,West,Technology,Keyboard,80,5,15
1012,2024-01-23,North,Furniture,Table,400,2,75
1013,2024-01-25,East,Technology,Printer,300,1,60
1014,2024-01-27,South,Office Supplies,Highlighter,70,10,12
1015,2024-01-28,West,Furniture,Sofa,1500,1,300
1016,2024-01-30,North,Technology,Headphones,200,4,40
1017,2024-02-01,East,Office Supplies,Envelope,40,20,8
1018,2024-02-02,South,Furniture,Cabinet,900,1,200
1019,2024-02-04,West,Technology,Mouse,50,5,10
1020,2024-02-06,North,Office Supplies,Glue,30,10,5
1021,2024-02-08,East,Technology,Tablet,700,2,120
1022,2024-02-10,South,Furniture,Stool,150,3,30
1023,2024-02-12,West,Office Supplies,Scissors,60,6,12
1024,2024-02-14,North,Technology,Camera,900,1,150
1025,2024-02-16,East,Furniture,Bed,1800,1,400
1026,2024-02-18,South,Office Supplies,Stapler,25,4,4
1027,2024-02-20,West,Technology,Projector,1200,1,200
1028,2024-02-22,North,Furniture,Armchair,850,1,180
1029,2024-02-24,East,Office Supplies,Folder,15,5,3
1030,2024-02-26,South,Technology,Speaker,300,2,60
